raw_hex,facility_code,card_number,format
53F2A76,83,496955,H10304-37
53269E2,83,79089,H10304-37
1005365135,83,207002,H10304-37
10053A6A3C,83,341278,H10304-37
530C5C8,83,25316,H10304-37
53128B4,83,37978,H10304-37
53D23F3,83,430585,H10304-37
10053892FA,83,280957,H10304-37
5318190,83,49352,H10304-37
100535D9DE,83,191727,H10304-37
100539531B,83,305549,H10304-37
530ED92,83,30409,H10304-37
53E8E26,83,476947,H10304-37
1005381E76,83,266043,H10304-37
5336F68,83,112564,H10304-37
5309997,83,19659,H10304-37
531600C,83,45062,H10304-37
100536F038,83,227356,H10304-37
100536B0D7,83,219243,H10304-37
5311E22,83,36625,H10304-37
533D9C3,83,126177,H10304-37
5317391,83,47560,H10304-37
100538D119,83,288908,H10304-37
100536CAD6,83,222571,H10304-37
530F21E,83,30991,H10304-37
53D3ACB,83,433509,H10304-37
1005390C1B,83,296461,H10304-37
531FB19,83,64908,H10304-37
53F28C3,83,496737,H10304-37
5339265,83,117042,H10304-37
10053A170C,83,330630,H10304-37
10053A09F9,83,328956,H10304-37
10053953F6,83,305659,H10304-37
53F29D3,83,496873,H10304-37
530FD65,83,32434,H10304-37
1005393BD3,83,302569,H10304-37
1005395E62,83,306993,H10304-37
10053658CF,83,207975,H10304-37
530CB21,83,26000,H10304-37
53F9EBF,83,511839,H10304-37
533898E,83,115911,H10304-37
530BECE,83,24423,H10304-37
100538E81A,83,291853,H10304-37
53DBC4B,83,450085,H10304-37
532217D,83,69822,H10304-37
100534A23E,83,151839,H10304-37
100536B4CD,83,219750,H10304-37
5324EE1,83,75632,H10304-37
100538A6A8,83,283476,H10304-37
531E27D,83,61758,H10304-37
1005392278,83,299324,H10304-37
100534EF8C,83,161734,H10304-37
100538F6D3,83,293737,H10304-37
53D0EDD,83,427886,H10304-37
10053AE97C,83,357566,H10304-37
532E442,83,94753,H10304-37
531A61E,83,54031,H10304-37
1005394E3C,83,304926,H10304-37
10053923A8,83,299476,H10304-37
10053A38FE,83,334975,H10304-37
5330187,83,98499,H10304-37
100535F558,83,195244,H10304-37
5318F15,83,51082,H10304-37
100538C391,83,287176,H10304-37
10053B64D1,83,373352,H10304-37
5310131,83,32920,H10304-37
10053907A8,83,295892,H10304-37
530F422,83,31249,H10304-37
100539E778,83,324540,H10304-37
5334B9D,83,107982,H10304-37
100537F152,83,260265,H10304-37
10053AE2ED,83,356726,H10304-37
10053881EF,83,278775,H10304-37
100536D76D,83,224182,H10304-37
53C6F88,83,407492,H10304-37
10053506C1,83,164704,H10304-37
100537731C,83,244110,H10304-37
1005395E79,83,307004,H10304-37
53EC66D,83,484150,H10304-37
1005374040,83,237600,H10304-37
100535C90D,83,189574,H10304-37
100534CBDA,83,157165,H10304-37
533F991,83,130248,H10304-37
53CB5C8,83,416484,H10304-37
532E054,83,94250,H10304-37
10053B2F17,83,366475,H10304-37
53C7A31,83,408856,H10304-37
533E7D3,83,127977,H10304-37
5314F49,83,42916,H10304-37
10053930D8,83,301164,H10304-37
100534CDD5,83,157418,H10304-37
1005386736,83,275355,H10304-37
100537EC01,83,259584,H10304-37
53E0092,83,458825,H10304-37
1005357EE3,83,180081,H10304-37
10053BABD1,83,382440,H10304-37
1005372E6F,83,235319,H10304-37
1005349B67,83,150963,H10304-37
100539BE4D,83,319270,H10304-37
53FAECD,83,513894,H10304-37
5312BD7,83,38379,H10304-37
531E39B,83,61901,H10304-37
10053830E3,83,268401,H10304-37
100536B0A3,83,219217,H10304-37
532A3B1,83,86488,H10304-37
53C1D41,83,396960,H10304-37
1005357911,83,179336,H10304-37
5326E89,83,79684,H10304-37
53EEEAE,83,489303,H10304-37
100537D2CC,83,256358,H10304-37
100536BF48,83,221092,H10304-37
530A098,83,20556,H10304-37
53F6470,83,504376,H10304-37
10053AB105,83,350338,H10304-37
5313DF1,83,40696,H10304-37
53C3BB0,83,400856,H10304-37
100538EDE3,83,292593,H10304-37
1005392B1E,83,300431,H10304-37
53CA022,83,413713,H10304-37
53E01F6,83,459003,H10304-37
